,title,product_description,rating,reviews_count,product_details,total_price,product_specifications,product_category,1_star,2_stars,3_stars,4_stars,5_stars,negative_reviews
11,Apple iPhone 15 Pro Max - 1 TB - Natural Titanium,Not Available,4.6,26768,"The first iPhone to feature an aerospace‐grade titanium design making these our lightest Pro models ever. Featuring the A17 Pro chip. A monster win for gaming. Mobile games will look and feel so immersive, with incredibly detailed environments and more realistic characters. With the iPhone 15 Pro camera, you have multiple focal lengths to work with. It’s like having seven pro lenses in your pocket, everywhere you go.",1897.96,"[{""specification_name"":""Rear Camera"",""specification_value"":""48 MP + 12 MP + 12 MP""},{""specification_name"":""Front Camera"",""specification_value"":""12 MP""},{""specification_name"":""Memory"",""specification_value"":""1 TB""},{""specification_name"":""Chipset"",""specification_value"":""Apple A17 Bionic""},{""specification_name"":""Battery"",""specification_value"":""4852 mAh""}]",iPhone,1943,352,710,1733,22030,2295
13,Apple iPhone 13 - Pink - 256 GB - Unlocked,"[""Battery life varies by use and configuration."",""Some features may not be available for all countries or all areas."",""Accessories are sold separately.""]",4.7,70359,"There’s no bigger show than the launch of a new iPhone, and the iPhone 13 doesn’t disappoint. Full of improvements over previous phones, the new iPhone starts with a glorious 6.1” screen that stretches almost to the very edge. Its improved camera system means sharp and shake-free photos even in low lighting. And now even entry models get a generous 128GB, so you can fit in all your memories. Inside, there’s 5G for lightning-fast connectivity on the go. And at the very heart, a monster of a processor that will keep the competition playing catch-up for years. Whether you’re into games, films or filmmaking, or you just want a great everyday phone, the iPhone 13 is simply one of the best phones there is.",1024.22,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2482""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""2.8 in""}]",iPhone,2221,719,1498,5748,60173,2940
14,Apple iPhone XR - White - 64 GB - AT&T,"[""Advanced LCD"",""Exceptional materials"",""Aerospace-grade aluminum bands"",""Advanced Face ID"",""Breakthrough camera system"",""Enhanced bokeh effect""]",4.6,63721,"iPhone Xr features the most advanced LCD in a smartphonea 6.1-inch Liquid Retina display with industry-leading color accuracy and an innovative backlight design that allows the screen to stretch into the corners.1 Six stunning new finishes. Advanced Face ID lets you securely unlock your iPhone, log in to apps, and pay with just a glance. The A12 Bionic chip with next-generation Neural Engine uses real-time machine learning to transform the way you experience photos, gaming, augmented reality, and more. A breakthrough 12MP camera system with Portrait mode, Portrait Lighting, enhanced bokeh, and all-new Depth Control. Water resistance.2 And iOS 12the most advanced mobile operating system in the worldwith powerful new tools that make iPhone more personal than ever.",155.15,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A1984""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""3 in""}]",iPhone,2976,1177,2375,7882,49311,4153
15,Apple iPhone 15 Pro - All Sizes - All Colours - Unlocked - Excellent Condition,"[""Become a Super Recruiter and earn rewards"",""Double Data"",""Earn £5 when recommending a friend"",""Free EU Roaming"",""Free calls and texts to same network""]",4.5,17683,"The Apple iPhone 15 Pro 128GB Natural Titanium is a compact device with excellent cameras. Thanks to the powerful A17 Pro chip, even the most demanding apps respond quickly and you can play 3D games without slowing down. You can take sharp photos in every situation with the 3 cameras. With the telephoto lens, you can zoom in up to 3 times without losing quality. You can give the new action button a function. You can make it quickly open your camera, for example. You can quickly control apps like Spotify via Dynamic Island, the menu at the top of your screen. You only have 128GB storage, so you regularly have to delete apps and photos. If you choose the 256GB storage, you don't have to do that. Do you like to watch movies and series on a large screen? Choose the iPhone 15 Pro Max. The iPhone 15 series has a USB-C port, so you can't use your old Lightning accessories anymore.",1381.57,"[{""specification_name"":""Display diagonal"",""specification_value"":""15.5 cm (6.1\"")""},{""specification_name"":""Maximum refresh rate"",""specification_value"":""120 Hz""},{""specification_name"":""Processor family"",""specification_value"":""Apple""},{""specification_name"":""Processor model"",""specification_value"":""A17 Pro""},{""specification_name"":""Processor cores"",""specification_value"":""6""}]",iPhone,1407,344,639,1264,14029,1751
16,Apple iPhone 14 Plus - 128 GB - Midnight,"[""6.7-inch Super Retina XDR display"",""Advanced camera system for better photos in any light"",""Cinematic mode now in 4K Dolby Vision up to 30 fps"",""Action mode for smooth, steady, handheld videos"",""Vital safety features-Emergency SOS via satellite and Crash Detection"",""Description""]",4.6,10666,"This iPhone 14 Plus model comes in Midnight and has 128GB storage making it a great choice for business users. The highlights of iPhone 14 Plus: iPhone 14 Plus supports iOS 16 giving you even greater levels of customisation than before. As well as lifestyle benefits, such as the ability to track activity without needing to use Apple Watch, it gives you all-important live updates from your favourite apps and even more intelligent widgets for the perfect home and work mix. iPhone 14 Plus also includes Apple's amazing 26 hour battery life. This is Apple's best battery ever and, unlike previous models, it's not just available on the Pro models. Perfect for all-day battery performance, it's giving you even longer performance without compromising on quality. And there's amazing quality built right in - the 6.7"" screen is 21% bigger than the previous model and comes with OLED technology, high resolutions and colour accuracy, plus True Tone capabilities to support different lighting conditions. There's even a new Always-On display that gives you eyes on the important information at a glance. For the visually minded, expect to see a new Main Camera which gives improved image processing and better performance in low light, plus a new Action mode for video recording, which keeps video footage steady in those corporate videos. On the inside, Apple's iPhone 14 Plus comes with the A15 Bionic chip, with a 5-core GPU - the same technology found in the iPhone 13 Pro.",559.0,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2886""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""78.1 mm""}]",iPhone,570,152,288,1039,8617,722
17,Apple iPhone 15 Pro Max - 256 GB - Blue Titanium - Unlocked,"[""A17 Pro Chip: Harness the power of Apple's most advanced chip, delivering next-level speed and performance for all your apps and games."",""256GB Storage: Store all your content with ease, from high-resolution photos to 4K videos and apps, with ample space for your digital life."",""iOS 17: Get access to the latest iOS features, security updates, and exclusive Apple services for a seamless experience.""]",4.6,26768,"Apple launched the iPhone 15 Pro Max in September 2023. The iPhone 15 Pro Max is one of four models in the 17th-generation iPhone lineup. The complete 17th-generation lineup also includes the iPhone 15, iPhone 15 Plus, and iPhone 15 Pro. The iPhone 15 Pro Max features include an always-on 6.7” Super Retina XDR display with ProMotion, an Apple A17 Pro chip, and up to 1TB of storage. Some of the new features that were introduced with the iPhone 15 Pro Max include USB-C with support for USB 3, an improved rear camera system, and an Action button.",1294.0,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2849""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""3 in""}]",iPhone,1943,352,710,1733,22030,2295
18,Apple iPhone 13 128GB Midnight,Not Available,4.7,70359,"Apple designed a totally new architecture and turned the lenses 45 degrees to fit in their best dual-camera system ever — with its biggest Wide camera sensor. They also made room for their sensor-shift optical image stabilisation and equipped the Ultra Wide camera with a faster sensor. Introducing Cinematic mode! Filmmakers use a technique called rack focus — shifting focus from one subject to another — to guide the audience’s attention in their films. Now iPhone makes it easy for you to bring the same storytelling technique to your videos. Cinematic mode anticipates when a prominent new subject is about to enter the scene and automatically shifts focus when they do. Now you can effortlessly create videos that look and feel like the movies. The A15 Bionic and the TrueDepth camera also power Face ID, the most secure facial authentication in a smartphone. Want to change the focus or adjust the blur after shooting wraps? No problem, the iPhone lets you do it with a few taps and swipes. Even pro movie cameras can’t do that.",851.49,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2633""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""2.8 in""}]",iPhone,2221,719,1498,5748,60173,2940
19,Apple iPhone 11 128GB Yellow,"[""Shoot and edit the highest-quality video in a smartphone."",""New Ultra Wide camera."",""The toughest glass in a smartphone.""]",4.6,109084,"Liquid Retina Display Stretching from edge-to-edge 6.1 Liquid Retina display offers more space for all your content. This stunning screen offers plenty of detail and superb brightness, and True Tone technology for accurate colours. A13 Bionic Processor The A13 Bionic processor provides breath-taking performance for demanding operations and games but is also power-efficient, so it won't drain your battery. Dual camera system with Ultra Wide The iPhone 11 comes with an amazing dual-camera system with an Ultra Wide camera that's perfect when you're taking photos of landscapes, groups, large interiors and action shots. QuickTake This useful feature that ensures that you will not miss any unexpected moment on the video. With iPhone 11, you can simply take videos in the photo mode by holding the shutter. TrueDepth camera The front-facing TrueDepth 12 Mpx camera lets you take amazing selfies and stunning group photos full of vivid colors. You can even take slofie, a slow-motion, high-quality selfie using this front camera Powerful sound experience Enjoy amazing audio quality with Dolby Atmos that delivers wider dynamic range and richer sound. Create videos with unique sound quality, make clearer speakerphone calls, or watch videos and play games with cinematic feeling.",437.61,"[{""specification_name"":""Launched"",""specification_value"":""Yes""},{""specification_name"":""Form factor"",""specification_value"":""Touchscreen""},{""specification_name"":""Body type"",""specification_value"":""Glass""},{""specification_name"":""Dimensions (mm)"",""specification_value"":""150.90 x 75.70 x 8.30""},{""specification_name"":""IP rating"",""specification_value"":""IP68""}]",iPhone,5479,1665,3180,11908,86852,7144
20,Apple iPhone 14 - 128 GB - Purple - Unlocked,"[""Stunningly yours."",""Bring on the light."",""It just keeps going, and going."",""Safety first.""]",4.6,27052,"PRODUCT OVERVIEW iPhone 14 Plus. Think big with a larger 6.7-inch display and all-day battery life. Capture stunning photos in low light and bright light with the new dual-camera system. Get peace of mind with groundbreaking safety features. KEY FEATURES 6.7-inch Super Retina XDR display Advanced camera system for better photos in any light Cinematic mode now in 4K Dolby Vision up to 30 fps Action mode for smooth, steady, handheld videos Vital safety features—Emergency SOS via satellite and Crash Detection All-day battery life and up to 26 hours of video playback A15 Bionic chip with 5-core GPU for lightning-fast performance. Superfast 5G cellular Industry-leading durability features with Ceramic Shield and water resistance iOS 16 offers even more ways to personalize, communicate, and share The display has rounded corners. When measured as a standard rectangular shape, the screen is 6.68 inches diagonally. Actual viewable area is less. Emergency SOS via satellite is available in November 2022. Service is included for free for two years with the activation of any iPhone 14 model. Connection and response times vary based on location, site conditions, and other factors. Data plan required. 5G is available in select markets and through select carriers. Speeds vary based on site conditions and carrier. Splash, water, and dust resistance are not permanent conditions. Resistance might decrease as a result of normal wear. Do not attempt to charge a wet iPhone; refer to the user guide for cleaning and drying instructions. Some features may not be available for all countries or all areas.",526.99,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2649""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""2.8 in""}]",iPhone,1425,399,841,2552,21835,1824
21,Apple iPhone 14 Pro 128GB Space Black,"[""Up to 3x better low-light photos on the Ultra Wide camera"",""Up to 2x better low-light photos on the Main camera"",""Up to 2x better low-light photos on the Telephoto camera <""]",4.5,8230,"The Apple iPhone 14 Pro is one of the greatest phones ever made, with a full host of features, services and extras and everything you could hope for in a smartphone - plus a lot more. It features a low weight of only just over 200g, a huge 6.1in display, and it can come with memory of up to 1TB, so more than enough for all the data you might need to store on it. This phone is quite simply the full package, with all of the latest smartphone technology in a small package that you are going to love carrying around. You’ll be amazed at what this phone can do and what you can get out of it. Take a look below to see all of its features in their full glory and to find out exactly why you might want to get yourself an Apple iPhone 14 Pro.",1023.52,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2890""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""2.8 in""}]",iPhone,481,209,369,919,6252,690
23,Apple iPhone 14 Pro 256GB Silver,"[""15.5 cm (6.1\"") Super Retina XDR Display with Always-On and ProMotion."",""Dynamic Island, an enchanting new way to interact with your iPhone."",""Cinematic mode in 4K Dolby Vision with up to 30 fps."",""Action mode for smooth looking videos."",""The battery lasts the whole day and up to 23 hours of video playback."",""A16 Bionic, the ultimate smartphone chip. Ultra fast 5G mobile connectivity.""]",4.5,8230,"A magical new way to interact with iPhone. A vital new safety feature designed to save lives. An innovative 48Mp camera for mind-blowing detail. All powered by the ultimate smartphone chip. Features: Designed for durability. With Ceramic Shield, tougher than any smartphone glass. Water resistance. Surgical-grade stainless steel. All in four Pro colours. Introducing Dynamic Island, a truly Apple innovation that's hardware and software and something in between. It bubbles up music, FaceTime and so much more - all without taking you away from what you're doing. iPhone 14 Pro raises the bar for what 48 megapixels can do - delivering 4x the resolution in ProRAW for mind-blowing detail in every crop.",1199.0,"[{""specification_name"":""Display type"",""specification_value"":""OLED""},{""specification_name"":""Subscription type"",""specification_value"":""No subscription""}]",iPhone,481,209,369,919,6252,690
24,Apple - iPhone 13 Blue 5G 512gb A15 ios15,"[""Dual 12MP camera system"",""Cinematic mode and Photographic Styles"",""Lightning-fast A15 Bionic chip"",""Ceramic Shield front"",""Super Retina XDR display"",""Durable flat-edge design"",""Advanced 5G experience""]",4.7,70359,"Experience a revolutionary camera system with the iPhone 13. Its redesigned architecture fits advanced features like sensor-shift OIS and Cinematic mode for professional-looking videos. The Super Retina XDR display is brighter and more colorful, powered by the A15 Bionic chip for unmatched speed. Enjoy up to 2.5 hours more battery life, enhanced 5G connectivity, and privacy-focused features, all in a sleek, eco-friendly design.",1593.49,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2633""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""2.8 in""}]",iPhone,2221,719,1498,5748,60173,2940
